Time,Open,High,Low,Close,Volume
2023-01-05 22:54:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 22:55:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 22:56:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 22:57:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 22:58:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 22:59:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:00:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:01:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:02:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:03:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:04:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:05:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:06:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:07:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:08:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:09:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:10:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:11:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:12:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:13:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:14:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:15:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:16:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:17:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:18:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:19:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:20:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:21:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:22:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:23:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:24:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:25:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:26:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:27:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:28:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:29:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:30:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:31:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:32:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:33:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:34:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:35:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:36:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:37:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:38:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:39:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:40:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:41:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:42:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:43:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:44:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:45:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:46:00,6685.0,6685.0,6685.0,6685.0,3.9
2023-01-05 23:47:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:48:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:49:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:50:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:51:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:52:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:53:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:54:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:55:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:56:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:57:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:58:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-05 23:59:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:00:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:01:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:02:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:03:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:04:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:05:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:06:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:07:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:08:00,6656.0,6656.0,6656.0,6656.0,306.0
2023-01-06 00:09:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:10:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:11:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:12:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:13:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:14:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:15:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:16:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:17:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:18:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:19:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:20:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:21:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:22:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:23:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:24:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:25:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:26:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:27:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:28:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:29:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:30:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:31:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:32:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:33:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:34:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:35:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:36:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:37:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:38:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:39:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:40:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:41:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:42:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:43:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:44:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:45:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:46:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:47:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:48:00,6656.0,6656.0,6656.0,6656.0,0.0
2023-01-06 00:49:00,6685.0,6685.0,6685.0,6685.0,29.18
2023-01-06 00:50:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:51:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:52:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:53:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:54:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:55:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:56:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:57:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:58:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 00:59:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:00:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:01:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:02:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:03:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:04:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:05:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:06:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:07:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:08:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:09:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:10:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:11:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:12:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:13:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:14:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:15:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:16:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:17:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:18:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:19:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:20:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:21:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:22:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:23:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:24:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:25:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:26:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:27:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:28:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:29:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:30:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:31:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:32:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:33:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:34:00,6685.0,6685.0,6685.0,6685.0,29.91
2023-01-06 01:35:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:36:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:37:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:38:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:39:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:40:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:41:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:42:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:43:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:44:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:45:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:46:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:47:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:48:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:49:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:50:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:51:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:52:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:53:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:54:00,6685.0,6685.0,6685.0,6685.0,0.0
2023-01-06 01:55:00,6591.0,6591.0,6591.0,6591.0,36.96
2023-01-06 01:56:00,6591.0,6591.0,6591.0,6591.0,0.0
2023-01-06 01:57:00,6591.0,6591.0,6591.0,6591.0,0.0
2023-01-06 01:58:00,6591.0,6591.0,6591.0,6591.0,0.0
2023-01-06 01:59:00,6591.0,6591.0,6591.0,6591.0,0.0
2023-01-06 02:00:00,6591.0,6591.0,6591.0,6591.0,0.0
2023-01-06 02:01:00,6591.0,6591.0,6591.0,6591.0,0.0
2023-01-06 02:02:00,6591.0,6591.0,6591.0,6591.0,0.0
2023-01-06 02:03:00,6591.0,6591.0,6591.0,6591.0,0.0
2023-01-06 02:04:00,6591.0,6591.0,6591.0,6591.0,0.0
2023-01-06 02:05:00,6591.0,6591.0,6591.0,6591.0,0.0
2023-01-06 02:06:00,6591.0,6591.0,6591.0,6591.0,0.0
2023-01-06 02:07:00,6700.0,6700.0,6700.0,6700.0,3.73
2023-01-06 02:08:00,6700.0,6700.0,6700.0,6700.0,0.0
2023-01-06 02:09:00,6700.0,6700.0,6700.0,6700.0,0.0
2023-01-06 02:10:00,6700.0,6700.0,6700.0,6700.0,0.0
2023-01-06 02:11:00,6700.0,6700.0,6700.0,6700.0,0.0
2023-01-06 02:12:00,6700.0,6700.0,6700.0,6700.0,0.0
2023-01-06 02:13:00,6700.0,6700.0,6700.0,6700.0,0.0
2023-01-06 02:14:00,6700.0,6700.0,6700.0,6700.0,0.0
2023-01-06 02:15:00,6700.0,6700.0,6700.0,6700.0,0.0
2023-01-06 02:16:00,6700.0,6700.0,6700.0,6700.0,0.0
2023-01-06 02:17:00,6700.0,6700.0,6700.0,6700.0,0.0
2023-01-06 02:18:00,6700.0,6700.0,6700.0,6700.0,0.0
2023-01-06 02:19:00,6700.0,6700.0,6700.0,6700.0,0.0
2023-01-06 02:20:00,6700.0,6700.0,6700.0,6700.0,0.0
2023-01-06 02:21:00,6645.0,6645.0,6611.0,6611.0,11.92
2023-01-06 02:22:00,6611.0,6611.0,6611.0,6611.0,0.0
2023-01-06 02:23:00,6611.0,6611.0,6611.0,6611.0,0.0
2023-01-06 02:24:00,6611.0,6611.0,6611.0,6611.0,0.0
2023-01-06 02:25:00,6611.0,6611.0,6611.0,6611.0,0.0
2023-01-06 02:26:00,6611.0,6611.0,6611.0,6611.0,0.0
2023-01-06 02:27:00,6611.0,6611.0,6611.0,6611.0,0.0
2023-01-06 02:28:00,6611.0,6611.0,6611.0,6611.0,0.0
2023-01-06 02:29:00,6613.0,6613.0,6613.0,6613.0,6.96
2023-01-06 02:30:00,6613.0,6613.0,6613.0,6613.0,3.17
2023-01-06 02:31:00,6604.0,6604.0,6604.0,6604.0,234.89
2023-01-06 02:32:00,6604.0,6604.0,6604.0,6604.0,0.0
2023-01-06 02:33:00,6604.0,6604.0,6604.0,6604.0,0.0
2023-01-06 02:34:00,6600.0,6600.0,6504.0,6504.0,588.57
2023-01-06 02:35:00,6504.0,6504.0,6504.0,6504.0,0.0
2023-01-06 02:36:00,6504.0,6504.0,6504.0,6504.0,0.0
2023-01-06 02:37:00,6568.0,6568.0,6568.0,6568.0,400.65
2023-01-06 02:38:00,6568.0,6568.0,6568.0,6568.0,0.0
2023-01-06 02:39:00,6568.0,6568.0,6568.0,6568.0,0.0
2023-01-06 02:40:00,6568.0,6568.0,6568.0,6568.0,0.0
2023-01-06 02:41:00,6568.0,6568.0,6568.0,6568.0,0.0
2023-01-06 02:42:00,6568.0,6568.0,6568.0,6568.0,0.0
2023-01-06 02:43:00,6568.0,6568.0,6568.0,6568.0,0.0
2023-01-06 02:44:00,6568.0,6568.0,6568.0,6568.0,0.0
2023-01-06 02:45:00,6568.0,6568.0,6568.0,6568.0,0.0
2023-01-06 02:46:00,6568.0,6568.0,6568.0,6568.0,0.0
2023-01-06 02:47:00,6605.0,6605.0,6604.0,6604.0,267.6
2023-01-06 02:48:00,6604.0,6604.0,6604.0,6604.0,0.0
2023-01-06 02:49:00,6598.0,6598.0,6598.0,6598.0,44.8
2023-01-06 02:50:00,6598.0,6598.0,6598.0,6598.0,0.0
2023-01-06 02:51:00,6598.0,6598.0,6598.0,6598.0,0.0
2023-01-06 02:52:00,6598.0,6598.0,6598.0,6598.0,0.0
2023-01-06 02:53:00,6598.0,6598.0,6598.0,6598.0,0.0
2023-01-06 02:54:00,6598.0,6598.0,6598.0,6598.0,0.0
2023-01-06 02:55:00,6598.0,6598.0,6598.0,6598.0,0.0
2023-01-06 02:56:00,6598.0,6598.0,6598.0,6598.0,0.0
2023-01-06 02:57:00,6598.0,6598.0,6598.0,6598.0,0.0
2023-01-06 02:58:00,6598.0,6598.0,6598.0,6598.0,0.0
2023-01-06 02:59:00,6598.0,6598.0,6598.0,6598.0,0.0
